[ 0.00234189  0.99765811]
[ 0.06420971  0.93579029]
[ 0.06424371  0.93575629]
[ 0.06441757  0.93558243]
[ 0.06447641  0.93552359]
[ 0.06453529  0.93546471]
[ 0.06455914  0.93544086]
[ 0.06463721  0.93536279]
[ 0.06473656  0.93526344]
[ 0.06488429  0.93511571]
[ 0.06493249  0.93506751]
[ 0.06494392  0.93505608]
[ 0.06494456  0.93505544]
[ 0.06499807  0.93500193]
[ 0.06500036  0.93499964]
[ 0.06512094  0.93487906]
[ 0.06537046  0.93462954]
[ 0.06543457  0.93456543]
[ 0.06548129  0.93451871]
[ 0.06550907  0.93449093]
[ 0.06551656  0.93448344]
[ 0.06568293  0.93431707]
[ 0.06602539  0.93397461]
[ 0.0664487  0.9335513]
[ 0.0665169  0.9334831]
[ 0.06652954  0.93347046]
[ 0.06653955  0.93346045]
[ 0.06662724  0.93337276]
[ 0.06666702  0.93333298]
[ 0.06689333  0.93310667]
[ 0.06706545  0.93293455]
[ 0.06710507  0.93289493]
[ 0.06725332  0.93274668]
[ 0.06739762  0.93260238]
[ 0.06755219  0.93244781]
[ 0.06770775  0.93229225]
[ 0.06776372  0.93223628]
[ 0.06783896  0.93216104]
[ 0.06792495  0.93207505]
[ 0.06817274  0.93182726]
[ 0.0682575  0.9317425]
[ 0.06847261  0.93152739]
[ 0.06879334  0.93120666]
[ 0.06893893  0.93106107]
[ 0.06934962  0.93065038]
[ 0.06947183  0.93052817]
[ 0.06952897  0.93047103]
[ 0.06968397  0.93031603]
[ 0.06976923  0.93023077]
[ 0.06999698  0.93000302]
[ 0.07011621  0.92988379]
[ 0.07033928  0.92966072]
[ 0.07068594  0.92931406]
[ 0.07069998  0.92930002]
[ 0.07080749  0.92919251]
[ 0.07082786  0.92917214]
[ 0.07089179  0.92910821]
[ 0.0708969  0.9291031]
[ 0.07109356  0.92890644]
[ 0.07118456  0.92881544]
[ 0.07122269  0.92877731]
[ 0.07138308  0.92861692]
[ 0.07149615  0.92850385]
[ 0.07168166  0.92831834]
[ 0.07170114  0.92829886]
[ 0.07173687  0.92826313]
[ 0.07187258  0.92812742]
[ 0.07188616  0.92811384]
[ 0.0718915  0.9281085]
[ 0.07200616  0.92799384]
[ 0.07203978  0.92796022]
[ 0.07212536  0.92787464]
[ 0.0721787  0.9278213]
[ 0.07219978  0.92780022]
[ 0.072352  0.927648]
[ 0.07236726  0.92763274]
[ 0.07248744  0.92751256]
[ 0.07266743  0.92733257]
[ 0.0726928  0.9273072]
[ 0.07269669  0.92730331]
[ 0.07269809  0.92730191]
[ 0.07297002  0.92702998]
[ 0.07297746  0.92702254]
[ 0.07302055  0.92697945]
[ 0.07314543  0.92685457]
[ 0.07314957  0.92685043]
[ 0.07315036  0.92684964]
[ 0.07315979  0.92684021]
[ 0.07332687  0.92667313]
[ 0.07334001  0.92665999]
[ 0.07342436  0.92657564]
[ 0.07343815  0.92656185]
[ 0.07358497  0.92641503]
[ 0.07361098  0.92638902]
[ 0.07363427  0.92636573]
[ 0.07374043  0.92625957]
[ 0.07374611  0.92625389]
[ 0.0738274  0.9261726]
[ 0.07410673  0.92589327]
[ 0.07419845  0.92580155]
[ 0.07424813  0.92575187]
[ 0.07443627  0.92556373]
[ 0.07444751  0.92555249]
[ 0.07458509  0.92541491]
[ 0.07460258  0.92539742]
[ 0.07464668  0.92535332]
[ 0.07471494  0.92528506]
[ 0.07499461  0.92500539]
[ 0.07499535  0.92500465]
[ 0.07502653  0.92497347]
[ 0.07510618  0.92489382]
[ 0.0751284  0.9248716]
[ 0.07512874  0.92487126]
[ 0.07524529  0.92475471]
[ 0.07529854  0.92470146]
[ 0.0753576  0.9246424]
[ 0.07545949  0.92454051]
[ 0.07551125  0.92448875]
[ 0.07558699  0.92441301]
[ 0.07561848  0.92438152]
[ 0.07575661  0.92424339]
[ 0.07585002  0.92414998]
[ 0.07585639  0.92414361]
[ 0.07591039  0.92408961]
[ 0.07598293  0.92401707]
[ 0.07613646  0.92386354]
[ 0.07614831  0.92385169]
[ 0.0764319  0.9235681]
[ 0.07652199  0.92347801]
[ 0.07657983  0.92342017]
[ 0.07660017  0.92339983]
[ 0.07672332  0.92327668]
[ 0.07679677  0.92320323]
[ 0.07689617  0.92310383]
[ 0.07694627  0.92305373]
[ 0.07737797  0.92262203]
[ 0.07738909  0.92261091]
[ 0.0775519  0.9224481]
[ 0.07755411  0.92244589]
[ 0.07757966  0.92242034]
[ 0.07759621  0.92240379]
[ 0.07760508  0.92239492]
[ 0.07761521  0.92238479]
[ 0.07769888  0.92230112]
[ 0.07776586  0.92223414]
[ 0.07789076  0.92210924]
[ 0.07807703  0.92192297]
[ 0.07828567  0.92171433]
[ 0.07835283  0.92164717]
[ 0.0784401  0.9215599]
[ 0.07848233  0.92151767]
[ 0.07853485  0.92146515]
[ 0.07862881  0.92137119]
[ 0.07865987  0.92134013]
[ 0.07876874  0.92123126]
[ 0.07879345  0.92120655]
[ 0.07880632  0.92119368]
[ 0.07891121  0.92108879]
[ 0.07897292  0.92102708]
[ 0.07932518  0.92067482]
[ 0.07934847  0.92065153]
[ 0.07941096  0.92058904]
[ 0.07941832  0.92058168]
[ 0.07954724  0.92045276]
[ 0.07974295  0.92025705]
[ 0.0798185  0.9201815]
[ 0.07989213  0.92010787]
[ 0.08018424  0.91981576]
[ 0.08032009  0.91967991]
[ 0.08032051  0.91967949]
[ 0.08036749  0.91963251]
[ 0.08049971  0.91950029]
[ 0.08053782  0.91946218]
[ 0.0805938  0.9194062]
[ 0.08062174  0.91937826]
[ 0.08064865  0.91935135]
[ 0.08066094  0.91933906]
[ 0.08066197  0.91933803]
[ 0.08079624  0.91920376]
[ 0.08095214  0.91904786]
[ 0.08100089  0.91899911]
[ 0.08107657  0.91892343]
[ 0.08122126  0.91877874]
[ 0.08124376  0.91875624]
[ 0.0812859  0.9187141]
[ 0.08128646  0.91871354]
[ 0.08134621  0.91865379]
[ 0.08155646  0.91844354]
[ 0.08157525  0.91842475]
[ 0.08157872  0.91842128]
[ 0.08159375  0.91840625]
[ 0.08159715  0.91840285]
[ 0.08179275  0.91820725]
[ 0.08180634  0.91819366]
[ 0.08199296  0.91800704]
[ 0.08204696  0.91795304]
[ 0.08207283  0.91792717]
[ 0.0821311  0.9178689]
[ 0.08237382  0.91762618]
[ 0.08257146  0.91742854]
[ 0.08268356  0.91731644]
[ 0.08269635  0.91730365]
[ 0.08286719  0.91713281]
[ 0.0830046  0.9169954]
[ 0.08302966  0.91697034]
[ 0.08304235  0.91695765]
[ 0.08304499  0.91695501]
[ 0.08306782  0.91693218]
[ 0.08324106  0.91675894]
[ 0.08346493  0.91653507]
[ 0.08348107  0.91651893]
[ 0.08358094  0.91641906]
[ 0.08376674  0.91623326]
[ 0.08377557  0.91622443]
[ 0.08379028  0.91620972]
[ 0.08384687  0.91615313]
[ 0.08384936  0.91615064]
[ 0.08392071  0.91607929]
[ 0.0839479  0.9160521]
[ 0.08397614  0.91602386]
[ 0.08412771  0.91587229]
[ 0.08417323  0.91582677]
[ 0.08427051  0.91572949]
[ 0.08430273  0.91569727]
[ 0.08433034  0.91566966]
[ 0.08452401  0.91547599]
[ 0.08461079  0.91538921]
[ 0.08463707  0.91536293]
[ 0.08465205  0.91534795]
[ 0.0847453  0.9152547]
[ 0.08475946  0.91524054]
[ 0.08479179  0.91520821]
[ 0.08516118  0.91483882]
[ 0.08516257  0.91483743]
[ 0.08516963  0.91483037]
[ 0.08517012  0.91482988]
[ 0.08525072  0.91474928]
[ 0.08530815  0.91469185]
[ 0.08545183  0.91454817]
[ 0.08568824  0.91431176]
[ 0.08572483  0.91427517]
[ 0.08596383  0.91403617]
[ 0.0861577  0.9138423]
[ 0.08616628  0.91383372]
[ 0.08621466  0.91378534]
[ 0.08623566  0.91376434]
[ 0.08624712  0.91375288]
[ 0.08627432  0.91372568]
[ 0.08628474  0.91371526]
[ 0.08637957  0.91362043]
[ 0.08645178  0.91354822]
[ 0.0866001  0.9133999]
[ 0.08692798  0.91307202]
[ 0.08704893  0.91295107]
[ 0.08724025  0.91275975]
[ 0.08733291  0.91266709]
[ 0.08735282  0.91264718]
[ 0.08743453  0.91256547]
[ 0.08757765  0.91242235]
[ 0.08780109  0.91219891]
[ 0.0878977  0.9121023]
[ 0.08808044  0.91191956]
[ 0.08834833  0.91165167]
[ 0.0883511  0.9116489]
[ 0.08836699  0.91163301]
[ 0.08842877  0.91157123]
[ 0.08850157  0.91149843]
[ 0.08932512  0.91067488]
[ 0.08939969  0.91060031]
[ 0.08942707  0.91057293]
[ 0.08944772  0.91055228]
[ 0.08945295  0.91054705]
[ 0.08952029  0.91047971]
[ 0.08958234  0.91041766]
[ 0.0896022  0.9103978]
[ 0.08960865  0.91039135]
[ 0.08964699  0.91035301]
[ 0.08966605  0.91033395]
[ 0.08993819  0.91006181]
[ 0.08994465  0.91005535]
[ 0.09000398  0.90999602]
[ 0.09003112  0.90996888]
[ 0.090045  0.909955]
[ 0.09006742  0.90993258]
[ 0.090208  0.909792]
[ 0.09020997  0.90979003]
[ 0.09028904  0.90971096]
[ 0.09029672  0.90970328]
[ 0.09041095  0.90958905]
[ 0.09049884  0.90950116]
[ 0.09053777  0.90946223]
[ 0.09054731  0.90945269]
[ 0.09069108  0.90930892]
[ 0.09088245  0.90911755]
[ 0.09093966  0.90906034]
[ 0.09109132  0.90890868]
[ 0.09116049  0.90883951]
[ 0.09126986  0.90873014]
[ 0.09140088  0.90859912]
[ 0.09142637  0.90857363]
[ 0.09148289  0.90851711]
[ 0.09149612  0.90850388]
[ 0.09151165  0.90848835]
[ 0.09161114  0.90838886]
[ 0.09161204  0.90838796]
[ 0.09176558  0.90823442]
[ 0.09186669  0.90813331]
[ 0.09201406  0.90798594]
[ 0.09203222  0.90796778]
[ 0.09203735  0.90796265]
[ 0.0920691  0.9079309]
[ 0.09242184  0.90757816]
[ 0.09251797  0.90748203]
[ 0.09255825  0.90744175]
[ 0.09256346  0.90743654]
[ 0.09260318  0.90739682]
[ 0.09270241  0.90729759]
[ 0.09272935  0.90727065]
[ 0.09282117  0.90717883]
[ 0.09283001  0.90716999]
[ 0.09285102  0.90714898]
[ 0.09290233  0.90709767]
[ 0.09301569  0.90698431]
[ 0.09312625  0.90687375]
[ 0.09317446  0.90682554]
[ 0.09319808  0.90680192]
[ 0.09326445  0.90673555]
[ 0.09331461  0.90668539]
[ 0.09360479  0.90639521]
[ 0.09367028  0.90632972]
[ 0.09367685  0.90632315]
[ 0.09370505  0.90629495]
[ 0.09386221  0.90613779]
[ 0.09390146  0.90609854]
[ 0.09390425  0.90609575]
[ 0.09392492  0.90607508]
[ 0.09394  0.90606]
[ 0.09398415  0.90601585]
[ 0.09404584  0.90595416]
[ 0.09407201  0.90592799]
[ 0.09410121  0.90589879]
[ 0.09420948  0.90579052]
[ 0.09432814  0.90567186]
[ 0.09436499  0.90563501]
[ 0.09453479  0.90546521]
[ 0.09463951  0.90536049]
[ 0.09467844  0.90532156]
[ 0.09475443  0.90524557]
[ 0.09476172  0.90523828]
[ 0.09486066  0.90513934]
[ 0.09502588  0.90497412]
[ 0.09503415  0.90496585]
[ 0.09508598  0.90491402]
[ 0.09516056  0.90483944]
[ 0.09540501  0.90459499]
[ 0.09541765  0.90458235]
[ 0.09548401  0.90451599]
[ 0.09551182  0.90448818]
[ 0.09557548  0.90442452]
[ 0.09558836  0.90441164]
[ 0.09561183  0.90438817]
[ 0.09565055  0.90434945]
[ 0.09566019  0.90433981]
[ 0.09569883  0.90430117]
[ 0.09573131  0.90426869]
[ 0.09575183  0.90424817]
[ 0.09578935  0.90421065]
[ 0.09582272  0.90417728]
[ 0.09585005  0.90414995]
[ 0.09587981  0.90412019]
[ 0.09588227  0.90411773]
[ 0.0959021  0.9040979]
[ 0.09591154  0.90408846]
[ 0.09593089  0.90406911]
[ 0.09601616  0.90398384]
[ 0.09615996  0.90384004]
[ 0.09618625  0.90381375]
[ 0.09621615  0.90378385]
[ 0.09622229  0.90377771]
[ 0.09641224  0.90358776]
[ 0.09641972  0.90358028]
[ 0.09643516  0.90356484]
[ 0.09681272  0.90318728]
[ 0.09692721  0.90307279]
[ 0.09695504  0.90304496]
[ 0.09699268  0.90300732]
[ 0.0970573  0.9029427]
[ 0.09706382  0.90293618]
[ 0.09716176  0.90283824]
[ 0.09723736  0.90276264]
[ 0.09740203  0.90259797]
[ 0.09742258  0.90257742]
[ 0.09744979  0.90255021]
[ 0.09765914  0.90234086]
[ 0.09771847  0.90228153]
[ 0.09772874  0.90227126]
[ 0.0977639  0.9022361]
[ 0.09795319  0.90204681]
[ 0.09804696  0.90195304]
[ 0.09809889  0.90190111]
[ 0.09814763  0.90185237]
[ 0.0981545  0.9018455]
[ 0.09817081  0.90182919]
[ 0.09829977  0.90170023]
[ 0.09836902  0.90163098]
[ 0.09843689  0.90156311]
[ 0.0985022  0.9014978]
[ 0.0985138  0.9014862]
[ 0.09855739  0.90144261]
[ 0.09861537  0.90138463]
[ 0.0987242  0.9012758]
[ 0.09903538  0.90096462]
[ 0.09904524  0.90095476]
[ 0.09927622  0.90072378]
[ 0.09931466  0.90068534]
[ 0.09941643  0.90058357]
[ 0.09953015  0.90046985]
[ 0.09955412  0.90044588]
[ 0.09959088  0.90040912]
[ 0.09960403  0.90039597]
[ 0.09968977  0.90031023]
[ 0.09982139  0.90017861]
[ 0.09984238  0.90015762]
[ 0.09986172  0.90013828]
[ 0.09989591  0.90010409]
[ 0.09991849  0.90008151]
[ 0.10013434  0.89986566]
[ 0.10028766  0.89971234]
[ 0.10040016  0.89959984]
[ 0.10042495  0.89957505]
[ 0.10043017  0.89956983]
[ 0.10047509  0.89952491]
[ 0.10053526  0.89946474]
[ 0.10066464  0.89933536]
[ 0.10078455  0.89921545]
[ 0.10083645  0.89916355]
[ 0.10092809  0.89907191]
[ 0.10095831  0.89904169]
[ 0.10095986  0.89904014]
[ 0.10108281  0.89891719]
[ 0.10108371  0.89891629]
[ 0.10115793  0.89884207]
[ 0.10123915  0.89876085]
[ 0.10136417  0.89863583]
[ 0.10139088  0.89860912]
[ 0.10145003  0.89854997]
[ 0.10145428  0.89854572]
[ 0.10146801  0.89853199]
[ 0.10149195  0.89850805]
[ 0.10179877  0.89820123]
[ 0.10183164  0.89816836]
[ 0.10189435  0.89810565]
[ 0.10198955  0.89801045]
[ 0.10200176  0.89799824]
[ 0.10201143  0.89798857]
[ 0.10210981  0.89789019]
[ 0.10211685  0.89788315]
[ 0.10229639  0.89770361]
[ 0.10242282  0.89757718]
[ 0.1025341  0.8974659]
[ 0.1026753  0.8973247]
[ 0.10267643  0.89732357]
[ 0.10273137  0.89726863]
[ 0.1028919  0.8971081]
[ 0.10300757  0.89699243]
[ 0.10307856  0.89692144]
[ 0.10309294  0.89690706]
[ 0.10332628  0.89667372]
[ 0.10336854  0.89663146]
[ 0.10337161  0.89662839]
[ 0.10338308  0.89661692]
[ 0.10339794  0.89660206]
[ 0.10340251  0.89659749]
[ 0.10351497  0.89648503]
[ 0.10363476  0.89636524]
[ 0.10363696  0.89636304]
[ 0.10366158  0.89633842]
[ 0.10367872  0.89632128]
[ 0.10368852  0.89631148]
[ 0.10375143  0.89624857]
[ 0.10376526  0.89623474]
[ 0.10382447  0.89617553]
[ 0.10386023  0.89613977]
[ 0.10396324  0.89603676]
[ 0.10396362  0.89603638]
[ 0.10398424  0.89601576]
[ 0.10398488  0.89601512]
[ 0.10401996  0.89598004]
[ 0.10439054  0.89560946]
[ 0.10439082  0.89560918]
[ 0.10450796  0.89549204]
[ 0.10451699  0.89548301]
[ 0.10454428  0.89545572]
[ 0.10465476  0.89534524]
[ 0.10473706  0.89526294]
[ 0.1048218  0.8951782]
[ 0.10486936  0.89513064]
[ 0.10487564  0.89512436]
[ 0.10487703  0.89512297]
[ 0.10496345  0.89503655]
[ 0.1049834  0.8950166]
[ 0.10507508  0.89492492]
[ 0.10508738  0.89491262]
[ 0.10518073  0.89481927]
[ 0.10531498  0.89468502]
[ 0.10537694  0.89462306]
[ 0.10539518  0.89460482]
[ 0.10541473  0.89458527]
[ 0.10546181  0.89453819]
[ 0.10550061  0.89449939]
[ 0.10551841  0.89448159]
[ 0.1056857  0.8943143]
[ 0.10571095  0.89428905]
[ 0.10572861  0.89427139]
[ 0.10590039  0.89409961]
[ 0.10593964  0.89406036]
[ 0.1060971  0.8939029]
[ 0.10610646  0.89389354]
[ 0.10647444  0.89352556]
[ 0.10648821  0.89351179]
[ 0.10655647  0.89344353]
[ 0.10662082  0.89337918]
[ 0.10668271  0.89331729]
[ 0.10686647  0.89313353]
[ 0.1068944  0.8931056]
[ 0.10694459  0.89305541]
[ 0.10698566  0.89301434]
[ 0.10700247  0.89299753]
[ 0.10700985  0.89299015]
[ 0.10705724  0.89294276]
[ 0.10706075  0.89293925]
[ 0.10709009  0.89290991]
[ 0.1071027  0.8928973]
[ 0.10725772  0.89274228]
[ 0.10727768  0.89272232]
[ 0.10728791  0.89271209]
[ 0.10730978  0.89269022]
[ 0.10737333  0.89262667]
[ 0.10739181  0.89260819]
[ 0.10749236  0.89250764]
[ 0.10760245  0.89239755]
[ 0.10768059  0.89231941]
[ 0.10786343  0.89213657]
[ 0.10789623  0.89210377]
[ 0.10801867  0.89198133]
[ 0.10810841  0.89189159]
[ 0.10815983  0.89184017]
[ 0.10831109  0.89168891]
[ 0.10842866  0.89157134]
[ 0.10845279  0.89154721]
[ 0.10849077  0.89150923]
[ 0.10892258  0.89107742]
[ 0.10907787  0.89092213]
[ 0.10913442  0.89086558]
